year,channel,reserved_t,ordered_t,inflow_t,price_mln_per_t,variable_payment,reserve_payment,available,delivery_share
2035,A_earth_core,100.0,100.0,100.0,6.2,620.0,45.0,True,1.0
2035,B_earth_flex,10.0,10.0,10.0,8.9,89.0,1.5,True,1.0
2036,A_earth_core,140.0,140.0,140.0,6.2,868.0,63.0,True,1.0
2036,B_earth_flex,13.0,13.0,13.0,8.9,115.7,1.95,True,1.0
2037,A_earth_core,190.0,190.0,190.0,6.2,1178.0,85.5,True,1.0
2037,B_earth_flex,10.0,10.0,10.0,8.9,89.0,1.5,True,1.0
2038,A_earth_core,190.0,190.0,190.0,7.75,1472.5,85.5,True,1.0
2038,B_earth_flex,12.0,12.0,12.0,11.125,133.5,1.7999999999999998,True,1.0
2038,D_lunar_isru,60.0,60.0,33.0,3.0,180.0,0.0,True,0.55
2038,E_emergency,10.0,0.0,0.0,13.8,0.0,3.5,True,1.0
2039,A_earth_core,190.0,190.0,190.0,7.75,1472.5,85.5,True,1.0
2039,B_earth_flex,23.0,23.0,23.0,11.125,255.875,3.4499999999999997,True,1.0
2039,D_lunar_isru,120.0,120.0,90.0,3.0,360.0,0.0,True,0.75
2039,E_emergency,10.0,0.0,0.0,13.8,0.0,3.5,True,1.0
2040,A_earth_core,190.0,190.0,190.0,6.2,1178.0,85.5,True,1.0
2040,B_earth_flex,85.0,85.0,85.0,8.9,756.5,12.75,True,1.0
2040,D_lunar_isru,120.0,120.0,120.0,3.0,360.0,0.0,True,1.0
2040,E_emergency,10.0,0.0,0.0,13.8,0.0,3.5,True,1.0
