year,check,ok,value,limit,kind,note
2035,reserve_45d,True,12.33,12.328767,hard,physical_stock
2035,service_total,True,1.0,0.97,hard,
2035,service_critical,True,1.0,0.99,hard,
2035,storage_capacity,True,25.713333,70.0,hard,overflow_events=0
2035,capex_cumulative,True,0.0,1800.0,hard,
2036,reserve_45d,True,17.38,17.260274,hard,physical_stock
2036,service_total,True,1.0,0.97,hard,
2036,service_critical,True,1.0,0.99,hard,
2036,storage_capacity,True,35.161667,70.0,hard,overflow_events=0
2036,capex_cumulative,True,805.0,1800.0,hard,
2037,reserve_45d,True,23.495,23.424658,hard,physical_stock
2037,service_total,True,1.0,0.97,hard,
2037,service_critical,True,1.0,0.99,hard,
2037,storage_capacity,True,46.928333,120.0,hard,overflow_events=0
2037,capex_cumulative,True,1430.0,1800.0,hard,
2038,reserve_45d,True,31.095,30.821918,hard,physical_stock
2038,service_total,True,1.0,0.97,hard,
2038,service_critical,True,1.0,0.99,hard,
2038,storage_capacity,True,60.784333,120.0,hard,overflow_events=0
2038,capex_cumulative,True,1430.0,2800.0,hard,
2039,reserve_45d,True,39.951,39.452055,hard,physical_stock
2039,service_total,True,1.0,0.97,hard,
2039,service_critical,True,1.0,0.99,hard,
2039,storage_capacity,True,75.621667,120.0,hard,overflow_events=0
2039,capex_cumulative,True,1430.0,2800.0,hard,
2040,reserve_45d,True,48.955,48.082192,hard,physical_stock
2040,service_total,True,1.0,0.97,hard,
2040,service_critical,True,1.0,0.99,hard,
2040,storage_capacity,True,81.715,120.0,hard,overflow_events=0
2040,capex_cumulative,True,1430.0,2800.0,hard,
