year,check,ok,value,limit,kind,note
2035,reserve_45d,True,12.33,12.328767,target,physical_stock
2035,service_total,True,1.0,0.97,target,
2035,service_critical,True,1.0,0.99,target,
2035,storage_capacity,True,25.713333,70.0,hard,overflow_events=0
2035,capex_cumulative,True,0.0,1800.0,hard,
2036,reserve_45d,True,17.38,17.260274,target,physical_stock
2036,service_total,True,1.0,0.97,target,
2036,service_critical,True,1.0,0.99,target,
2036,storage_capacity,True,35.161667,70.0,hard,overflow_events=0
2036,capex_cumulative,True,805.0,1800.0,hard,
2037,reserve_45d,True,23.495,23.424658,target,physical_stock
2037,service_total,True,1.0,0.97,target,
2037,service_critical,True,1.0,0.99,target,
2037,storage_capacity,True,46.928333,120.0,hard,overflow_events=0
2037,capex_cumulative,True,1430.0,1800.0,hard,
2038,reserve_45d,True,31.095,35.445205,target,emergency_contract
2038,service_total,False,0.915739,0.97,target,
2038,service_critical,True,1.0,0.99,target,
2038,storage_capacity,True,50.443333,120.0,hard,overflow_events=0
2038,capex_cumulative,True,1430.0,2800.0,hard,
2039,reserve_45d,False,0.0,45.369863,target,insufficient
2039,service_total,False,0.813489,0.97,target,
2039,service_critical,True,1.0,0.99,target,
2039,storage_capacity,True,24.947,120.0,hard,overflow_events=0
2039,capex_cumulative,True,1430.0,2800.0,hard,
2040,reserve_45d,False,0.0,55.294521,target,insufficient
2040,service_total,False,0.870145,0.97,target,
2040,service_critical,True,1.0,0.99,target,
2040,storage_capacity,True,32.521667,120.0,hard,overflow_events=0
2040,capex_cumulative,True,1430.0,2800.0,hard,
