parameter,value,npv_mln,min_service_total,min_service_critical,hard_violations,breaks_constraints
demand_multiplier,0.9,8175.4,1.0,1.0,3,да
demand_multiplier,0.95,8099.4,1.0,1.0,2,да
demand_multiplier,1.0,8023.4,1.0,1.0,0,нет
demand_multiplier,1.05,7951.6,0.953,1.0,7,да
demand_multiplier,1.1,7932.1,0.9097,1.0,10,да
demand_multiplier,1.15,7927.1,0.8701,1.0,11,да
demand_multiplier,1.2,7924.3,0.8339,1.0,11,да
price_mult_A_B,0.8,6902.8,1.0,1.0,0,нет
price_mult_A_B,0.9,7463.1,1.0,1.0,0,нет
price_mult_A_B,1.0,8023.4,1.0,1.0,0,нет
price_mult_A_B,1.25,9424.1,1.0,1.0,0,нет
price_mult_A_B,1.4,10264.5,1.0,1.0,0,нет
discount_rate,0.06,9018.9,1.0,1.0,0,нет
discount_rate,0.08,8498.0,1.0,1.0,0,нет
discount_rate,0.1,8023.4,1.0,1.0,0,нет
discount_rate,0.12,7589.9,1.0,1.0,0,нет
discount_rate,0.14,7193.2,1.0,1.0,0,нет
isru_capex_mln,1000.0,8023.4,1.0,1.0,0,нет
isru_capex_mln,1250.0,8023.4,1.0,1.0,0,нет
isru_capex_mln,1500.0,7245.7,0.6576,1.0,8,да
